title,authors,summaries,subjects,characters,text_url,character_name,character_resume,snippet,traits
A capital federal (impressões de um sertanejo),"[{""name"": ""Coelho Netto, Henrique"", ""birth_year"": 1864, ""death_year"": 1934}]","[""\""A Capital Federal (Impressões de um Sertanejo)\"" by Henrique Coelho Netto is a novel written in the early 20th century. The work likely explores the contrasts between rural life and urban experiences in Brazil, highlighting the thoughts and reflections of the main character, Anselmo, as he transitions from the countryside to the busy city. The narrative promises insights into the socio-political landscape of the time, framed through Anselmo's personal journey and encounters.  The opening of the novel introduces us to Anselmo, who is traveling to the city of Rio de Janeiro for the first time. He reflects on his lengthy train journey, appreciating both the discomfort of travel and his excitement about the new world awaiting him. Upon arrival, he is struck by the chaotic energy and bright lights of the city, setting the stage for a contrast between his simple rural upbringing and the complexities of urban life. Anselmo meets various characters during his train ride, including a conservative and a revolutionary, hinting at the diverse political landscapes he will navigate. He also encounters Graziella, a teacher from Italy, whose beauty and mysteriousness captivate him. Through vivid descriptions, the author depicts Anselmo’s feelings of awe and disillusionment, weaving a tapestry of personal and societal exploration that promises depth as the story unfolds. (This is an automatically generated summary.)""]","[""Brazilian literature"", ""Romance fiction, Brazilian""]","[""Graziella"", ""Sertanejo""]",https://www.gutenberg.org/ebooks/70121.txt.utf-8,Graziella,"Graziella é uma mulher melancólica, sensível e pessimista, que se mostra discreta e tímida. Contudo, revela um lado pragmático e impulsivo ao ceder à fome, contrastando com sua postura inicial.","O conservador, com um gesto nobre, rejeitou; eu rejeitei; e uma mocinha
triste, que vinha derreada, a olhar melancolicamente a paisagem, como
se por ali lhe ficassem pedaços do coração, teve um sorriso adoravel,
rejeitando, por sua vez. Seus olhos castanhos, entre grandes cilios,
alumiaram-me, e travámos palestra, em tom subtil e discreto, vindo eu
a saber, pelo cicio dos seus labios, que era professora em Sabará,
na fazenda de um tal Souza Gordo. E disse-me a sua patria--a Italia,
e o seu nome, já celebre no idyllio--Graziella. E eu, a ouvir-lhe as
suaves palavras, via as arvores passarem vertiginosamente, como se
os campos e os montes assustados fugissem diante do comboio rapido.
Emquanto andámos, não lhe percebi um movimento, um olhar que não
fossem do mais candido recato. Lia--um livrinho minusculo, capa de
percaline roxa e letras de ouro. Em Juiz de Fóra, offerecendo-lhe uma
corbelha de figos, aproveitei a sua distracção para surprender o nome
do poeta favorito--Leopardi. Era pessimista com tão angelico sorriso!
Amargo seculo em que as deusas trazem philtros no bolso e seguem a
seita sombria dos desesperados. Era, de certo, a idéa da morte que
lhe punha nos serenos olhos tanta melancolia. Na Barra, porém, tive
uma surpresa--voltando ao wagon, encontrei-a sem luvas, o véusinho
levantado, trincando, com voracidade, uma côxa de frango. Corou ao
ver-me, mas a fome venceu-a; e, até Mendes, fartou-se regaladamente,
escorropichando, por uma calha de papel, a farofia de manteiga e ovo.","[""melancólico"", ""sensível"", ""discreto"", ""tímido"", ""pessimista"", ""pragmático"", ""impulsivo""]"
Contos Phantasticos: segunda edição correcta e ampliada,"[{""name"": ""Braga, Teófilo"", ""birth_year"": 1843, ""death_year"": 1924}]","[""\""Contos Phantasticos\"" by Teófilo Braga is a collection of short stories written in the late 19th century. This work explores themes of passion, melancholy, and existential contemplation, presenting characters deeply immersed in their own emotional struggles and the broader human experience. The stories blend poetic language with a philosophical undertone, drawing readers into the internal conflicts of its characters.  The opening of \""Contos Phantasticos\"" introduces a reflective preface where Braga revisits his earlier works with both nostalgia and critique. He recounts the personal struggles faced during the creation of these stories, mingling memories with literary analysis. The narrative then shifts to portray a character, presumably a young woman, enveloped in a profound sadness despite her beauty and youth, hinting at deeper existential themes. The tone is introspective, evoking a sense of longing and the complexities of love, ultimately setting the stage for the intricate and emotionally charged tales to follow. (This is an automatically generated summary.)""]","[""Fiction"", ""Short stories, Portuguese""]","[""Contos Phantasticos""]",https://www.gutenberg.org/ebooks/32646.txt.utf-8,Contos Phantasticos,"Contos Phantasticos é um trabalho generoso e altruísta, disponível gratuitamente e com poucas restrições. É responsável e ético em sua distribuição, além de ser metódico e perfeccionista em suas atualizações.","This ebook is for the use of anyone anywhere in the United States and
most other parts of the world at no cost and with almost no restrictions
whatsoever. You may copy it, give it away or re-use it under the terms
of the Project Gutenberg License included with this ebook or online
at www.gutenberg.org. If you are not located in the United States,
you will have to check the laws of the country where you are located
before using this eBook.","[""generoso"", ""altruísta"", ""responsável"", ""ético""]"
Contos Phantasticos: segunda edição correcta e ampliada,"[{""name"": ""Braga, Teófilo"", ""birth_year"": 1843, ""death_year"": 1924}]","[""\""Contos Phantasticos\"" by Teófilo Braga is a collection of short stories written in the late 19th century. This work explores themes of passion, melancholy, and existential contemplation, presenting characters deeply immersed in their own emotional struggles and the broader human experience. The stories blend poetic language with a philosophical undertone, drawing readers into the internal conflicts of its characters.  The opening of \""Contos Phantasticos\"" introduces a reflective preface where Braga revisits his earlier works with both nostalgia and critique. He recounts the personal struggles faced during the creation of these stories, mingling memories with literary analysis. The narrative then shifts to portray a character, presumably a young woman, enveloped in a profound sadness despite her beauty and youth, hinting at deeper existential themes. The tone is introspective, evoking a sense of longing and the complexities of love, ultimately setting the stage for the intricate and emotionally charged tales to follow. (This is an automatically generated summary.)""]","[""Fiction"", ""Short stories, Portuguese""]","[""Contos Phantasticos""]",https://www.gutenberg.org/ebooks/32646.txt.utf-8,Contos Phantasticos,"Contos Phantasticos é um trabalho generoso e altruísta, disponível gratuitamente e com poucas restrições. É responsável e ético em sua distribuição, além de ser metódico e perfeccionista em suas atualizações.","Updated editions will replace the previous one—the old editions will
be renamed.","[""perfeccionista"", ""metódico"", ""responsável"", ""inovador""]"
Flirts,"[{""name"": ""Vasconcellos, Henrique de"", ""birth_year"": 1876, ""death_year"": 1924}]","[""\""Flirts\"" by Henrique de Vasconcellos is a collection of short stories written in the early 20th century. The work explores themes of love, flirtation, and social interactions, reflecting on the lives of various characters navigating romance and relationships. The stories likely feature a range of humorous and poignant exchanges between lovers and acquaintances, capturing the intricacies of human emotions.  At the start of the collection, we are introduced to a setting that resembles a flirtation school, where a professor instructs a naive student named Maria do Carmo, who seeks to learn the art of flirting to navigate her new life in Lisbon. The professor is depicted as knowledgeable yet somewhat cynical, guiding his disciple through the nuances of societal expectations and flirtation techniques. Their dialogue reveals a blend of sophistication and humor as they discuss appearance, conversation, and the nature of romantic encounters, setting the tone for the exploration of interpersonal dynamics throughout the stories. (This is an automatically generated summary.)""]","[""Fiction""]","[""Maria do Carmo""]",https://www.gutenberg.org/ebooks/35073.txt.utf-8,Maria do Carmo,"Maria do Carmo é uma mulher de trinta anos, casada, sem filhos, que leva uma vida social intensa e superficial. É vaidoso, curioso, misterioso, manipulador e astuto, mantendo uma aura enigmática e um certo distanciamento.","Maria do Carmo, curvada sobre a meza, folheia os ultimos _envois_ de
    Paquin e Redfern. Um candieiro com um largo quebra-luz de seda e
    rendas lança-lhe sobre o cabello uma aureola de oiro. O corpo está
    mergulhado na penumbra. Na sala, os moveis tomam aspectos
    fantasticos. Os espelhos teem um brilho pallido. Gonçalo, ao entrar,
    beija a mão que Maria do Carmo lhe estende, sem levantar os olhos
    dos papeis.","[""vaidoso"", ""frio""]"
Flirts,"[{""name"": ""Vasconcellos, Henrique de"", ""birth_year"": 1876, ""death_year"": 1924}]","[""\""Flirts\"" by Henrique de Vasconcellos is a collection of short stories written in the early 20th century. The work explores themes of love, flirtation, and social interactions, reflecting on the lives of various characters navigating romance and relationships. The stories likely feature a range of humorous and poignant exchanges between lovers and acquaintances, capturing the intricacies of human emotions.  At the start of the collection, we are introduced to a setting that resembles a flirtation school, where a professor instructs a naive student named Maria do Carmo, who seeks to learn the art of flirting to navigate her new life in Lisbon. The professor is depicted as knowledgeable yet somewhat cynical, guiding his disciple through the nuances of societal expectations and flirtation techniques. Their dialogue reveals a blend of sophistication and humor as they discuss appearance, conversation, and the nature of romantic encounters, setting the tone for the exploration of interpersonal dynamics throughout the stories. (This is an automatically generated summary.)""]","[""Fiction""]","[""Maria do Carmo""]",https://www.gutenberg.org/ebooks/35073.txt.utf-8,Maria do Carmo,"Maria do Carmo é uma mulher de trinta anos, casada, sem filhos, que leva uma vida social intensa e superficial. É vaidoso, curioso, misterioso, manipulador e astuto, mantendo uma aura enigmática e um certo distanciamento.","MARIA DO CARMO--trinta annos, com dez de casamento. Sem filhos. A
    vida passa-se-lhe em visitas, _raouts_, recéções e bailes. Alguns
    livros da moda, recommendados por Marcel Ballot, no _Figaro_, e Jean
    Lorrain, por curiosidade. Interessante como um enigma, ás vezes
    perversa. Não se lhe conhece um amante, mas indicam-se muitos. Não
    toca piano.","[""vaidoso"", ""curioso"", ""misterioso"", ""manipulador"", ""astuto""]"
A capital federal (impressões de um sertanejo),"[{""name"": ""Coelho Netto, Henrique"", ""birth_year"": 1864, ""death_year"": 1934}]","[""\""A Capital Federal (Impressões de um Sertanejo)\"" by Henrique Coelho Netto is a novel written in the early 20th century. The work likely explores the contrasts between rural life and urban experiences in Brazil, highlighting the thoughts and reflections of the main character, Anselmo, as he transitions from the countryside to the busy city. The narrative promises insights into the socio-political landscape of the time, framed through Anselmo's personal journey and encounters.  The opening of the novel introduces us to Anselmo, who is traveling to the city of Rio de Janeiro for the first time. He reflects on his lengthy train journey, appreciating both the discomfort of travel and his excitement about the new world awaiting him. Upon arrival, he is struck by the chaotic energy and bright lights of the city, setting the stage for a contrast between his simple rural upbringing and the complexities of urban life. Anselmo meets various characters during his train ride, including a conservative and a revolutionary, hinting at the diverse political landscapes he will navigate. He also encounters Graziella, a teacher from Italy, whose beauty and mysteriousness captivate him. Through vivid descriptions, the author depicts Anselmo’s feelings of awe and disillusionment, weaving a tapestry of personal and societal exploration that promises depth as the story unfolds. (This is an automatically generated summary.)""]","[""Brazilian literature"", ""Romance fiction, Brazilian""]","[""Graziella"", ""Sertanejo""]",https://www.gutenberg.org/ebooks/70121.txt.utf-8,Graziella,"Graziella é uma mulher melancólica, sensível e pessimista, que se mostra discreta e tímida. Contudo, revela um lado pragmático e impulsivo ao ceder à fome, contrastando com sua postura inicial.","O conservador, com um gesto nobre, rejeitou; eu rejeitei; e uma mocinha
triste, que vinha derreada, a olhar melancolicamente a paisagem, como
se por ali lhe ficassem pedaços do coração, teve um sorriso adoravel,
rejeitando, por sua vez. Seus olhos castanhos, entre grandes cilios,
alumiaram-me, e travámos palestra, em tom subtil e discreto, vindo eu
a saber, pelo cicio dos seus labios, que era professora em Sabará,
na fazenda de um tal Souza Gordo. E disse-me a sua patria--a Italia,
e o seu nome, já celebre no idyllio--Graziella. E eu, a ouvir-lhe as
suaves palavras, via as arvores passarem vertiginosamente, como se
os campos e os montes assustados fugissem diante do comboio rapido.
Emquanto andámos, não lhe percebi um movimento, um olhar que não
fossem do mais candido recato. Lia--um livrinho minusculo, capa de
percaline roxa e letras de ouro. Em Juiz de Fóra, offerecendo-lhe uma
corbelha de figos, aproveitei a sua distracção para surprender o nome
do poeta favorito--Leopardi. Era pessimista com tão angelico sorriso!
Amargo seculo em que as deusas trazem philtros no bolso e seguem a
seita sombria dos desesperados. Era, de certo, a idéa da morte que
lhe punha nos serenos olhos tanta melancolia. Na Barra, porém, tive
uma surpresa--voltando ao wagon, encontrei-a sem luvas, o véusinho
levantado, trincando, com voracidade, uma côxa de frango. Corou ao
ver-me, mas a fome venceu-a; e, até Mendes, fartou-se regaladamente,
escorropichando, por uma calha de papel, a farofia de manteiga e ovo.","[""melancólico"", ""sensível"", ""discreto"", ""tímido"", ""pessimista"", ""pragmático"", ""impulsivo""]"
Contos Phantasticos: segunda edição correcta e ampliada,"[{""name"": ""Braga, Teófilo"", ""birth_year"": 1843, ""death_year"": 1924}]","[""\""Contos Phantasticos\"" by Teófilo Braga is a collection of short stories written in the late 19th century. This work explores themes of passion, melancholy, and existential contemplation, presenting characters deeply immersed in their own emotional struggles and the broader human experience. The stories blend poetic language with a philosophical undertone, drawing readers into the internal conflicts of its characters.  The opening of \""Contos Phantasticos\"" introduces a reflective preface where Braga revisits his earlier works with both nostalgia and critique. He recounts the personal struggles faced during the creation of these stories, mingling memories with literary analysis. The narrative then shifts to portray a character, presumably a young woman, enveloped in a profound sadness despite her beauty and youth, hinting at deeper existential themes. The tone is introspective, evoking a sense of longing and the complexities of love, ultimately setting the stage for the intricate and emotionally charged tales to follow. (This is an automatically generated summary.)""]","[""Fiction"", ""Short stories, Portuguese""]","[""Contos Phantasticos""]",https://www.gutenberg.org/ebooks/32646.txt.utf-8,Contos Phantasticos,"Contos Phantasticos é um trabalho generoso e altruísta, disponível gratuitamente e com poucas restrições. É responsável e ético em sua distribuição, além de ser metódico e perfeccionista em suas atualizações.","This ebook is for the use of anyone anywhere in the United States and
most other parts of the world at no cost and with almost no restrictions
whatsoever. You may copy it, give it away or re-use it under the terms
of the Project Gutenberg License included with this ebook or online
at www.gutenberg.org. If you are not located in the United States,
you will have to check the laws of the country where you are located
before using this eBook.","[""generoso"", ""altruísta"", ""responsável"", ""ético""]"
Contos Phantasticos: segunda edição correcta e ampliada,"[{""name"": ""Braga, Teófilo"", ""birth_year"": 1843, ""death_year"": 1924}]","[""\""Contos Phantasticos\"" by Teófilo Braga is a collection of short stories written in the late 19th century. This work explores themes of passion, melancholy, and existential contemplation, presenting characters deeply immersed in their own emotional struggles and the broader human experience. The stories blend poetic language with a philosophical undertone, drawing readers into the internal conflicts of its characters.  The opening of \""Contos Phantasticos\"" introduces a reflective preface where Braga revisits his earlier works with both nostalgia and critique. He recounts the personal struggles faced during the creation of these stories, mingling memories with literary analysis. The narrative then shifts to portray a character, presumably a young woman, enveloped in a profound sadness despite her beauty and youth, hinting at deeper existential themes. The tone is introspective, evoking a sense of longing and the complexities of love, ultimately setting the stage for the intricate and emotionally charged tales to follow. (This is an automatically generated summary.)""]","[""Fiction"", ""Short stories, Portuguese""]","[""Contos Phantasticos""]",https://www.gutenberg.org/ebooks/32646.txt.utf-8,Contos Phantasticos,"Contos Phantasticos é um trabalho generoso e altruísta, disponível gratuitamente e com poucas restrições. É responsável e ético em sua distribuição, além de ser metódico e perfeccionista em suas atualizações.","Updated editions will replace the previous one—the old editions will
be renamed.","[""perfeccionista"", ""metódico"", ""responsável"", ""inovador""]"
Flirts,"[{""name"": ""Vasconcellos, Henrique de"", ""birth_year"": 1876, ""death_year"": 1924}]","[""\""Flirts\"" by Henrique de Vasconcellos is a collection of short stories written in the early 20th century. The work explores themes of love, flirtation, and social interactions, reflecting on the lives of various characters navigating romance and relationships. The stories likely feature a range of humorous and poignant exchanges between lovers and acquaintances, capturing the intricacies of human emotions.  At the start of the collection, we are introduced to a setting that resembles a flirtation school, where a professor instructs a naive student named Maria do Carmo, who seeks to learn the art of flirting to navigate her new life in Lisbon. The professor is depicted as knowledgeable yet somewhat cynical, guiding his disciple through the nuances of societal expectations and flirtation techniques. Their dialogue reveals a blend of sophistication and humor as they discuss appearance, conversation, and the nature of romantic encounters, setting the tone for the exploration of interpersonal dynamics throughout the stories. (This is an automatically generated summary.)""]","[""Fiction""]","[""Maria do Carmo""]",https://www.gutenberg.org/ebooks/35073.txt.utf-8,Maria do Carmo,"Maria do Carmo é uma mulher de trinta anos, casada, sem filhos, que leva uma vida social intensa e superficial. É vaidoso, curioso, misterioso, manipulador e astuto, mantendo uma aura enigmática e um certo distanciamento.","Maria do Carmo, curvada sobre a meza, folheia os ultimos _envois_ de
    Paquin e Redfern. Um candieiro com um largo quebra-luz de seda e
    rendas lança-lhe sobre o cabello uma aureola de oiro. O corpo está
    mergulhado na penumbra. Na sala, os moveis tomam aspectos
    fantasticos. Os espelhos teem um brilho pallido. Gonçalo, ao entrar,
    beija a mão que Maria do Carmo lhe estende, sem levantar os olhos
    dos papeis.","[""vaidoso"", ""frio""]"
Flirts,"[{""name"": ""Vasconcellos, Henrique de"", ""birth_year"": 1876, ""death_year"": 1924}]","[""\""Flirts\"" by Henrique de Vasconcellos is a collection of short stories written in the early 20th century. The work explores themes of love, flirtation, and social interactions, reflecting on the lives of various characters navigating romance and relationships. The stories likely feature a range of humorous and poignant exchanges between lovers and acquaintances, capturing the intricacies of human emotions.  At the start of the collection, we are introduced to a setting that resembles a flirtation school, where a professor instructs a naive student named Maria do Carmo, who seeks to learn the art of flirting to navigate her new life in Lisbon. The professor is depicted as knowledgeable yet somewhat cynical, guiding his disciple through the nuances of societal expectations and flirtation techniques. Their dialogue reveals a blend of sophistication and humor as they discuss appearance, conversation, and the nature of romantic encounters, setting the tone for the exploration of interpersonal dynamics throughout the stories. (This is an automatically generated summary.)""]","[""Fiction""]","[""Maria do Carmo""]",https://www.gutenberg.org/ebooks/35073.txt.utf-8,Maria do Carmo,"Maria do Carmo é uma mulher de trinta anos, casada, sem filhos, que leva uma vida social intensa e superficial. É vaidoso, curioso, misterioso, manipulador e astuto, mantendo uma aura enigmática e um certo distanciamento.","MARIA DO CARMO--trinta annos, com dez de casamento. Sem filhos. A
    vida passa-se-lhe em visitas, _raouts_, recéções e bailes. Alguns
    livros da moda, recommendados por Marcel Ballot, no _Figaro_, e Jean
    Lorrain, por curiosidade. Interessante como um enigma, ás vezes
    perversa. Não se lhe conhece um amante, mas indicam-se muitos. Não
    toca piano.","[""vaidoso"", ""curioso"", ""misterioso"", ""manipulador"", ""astuto""]"
